aX,aY,aZ,gX,gY,gZ
-1.042,-0.073,0.025,2.808,9.399,-0.977
-1.040,-0.068,0.025,2.563,9.277,-0.977
-1.035,-0.051,0.027,2.991,9.277,-1.099
-2.006,0.523,0.465,102.661,46.875,-115.295
-2.162,0.720,0.463,104.675,48.401,-111.877
-2.214,0.907,0.402,104.004,48.035,-106.140
-2.416,0.924,0.457,106.506,44.128,-85.327
-2.651,1.027,0.437,102.478,31.433,-64.331
-2.711,1.001,0.387,99.121,23.865,-59.814
-2.738,0.947,0.350,91.797,16.479,-50.476
-2.732,0.893,0.300,76.965,6.836,-34.302
-2.731,0.798,0.213,63.110,-4.395,-16.296
-2.680,0.692,0.119,54.077,-14.343,3.906
-2.679,0.461,0.121,51.514,-21.851,32.898
-2.704,0.287,0.106,46.875,-30.945,56.274
-2.679,0.109,0.090,38.391,-38.574,61.401
-2.638,-0.078,0.086,29.053,-43.335,62.500
-2.561,-0.229,0.054,17.090,-46.204,65.918
-2.426,-0.390,0.021,6.409,-47.424,68.848
-2.293,-0.538,-0.026,-0.549,-47.424,73.364
-2.190,-0.688,-0.078,-2.625,-44.922,79.590
-2.061,-0.824,-0.091,1.404,-40.466,85.449
-1.934,-0.871,-0.076,10.376,-34.180,92.102
-1.795,-0.848,-0.037,20.203,-27.039,98.328
-1.663,-0.833,0.005,27.100,-19.714,101.868
-1.510,-0.838,0.049,27.039,-12.451,104.370
-1.345,-0.856,0.099,27.161,-7.874,99.609
-1.201,-0.821,0.183,30.396,-5.554,86.243
-1.090,-0.692,0.297,32.166,-5.981,69.153
-0.952,-0.479,0.425,31.128,-8.057,46.326
-0.797,-0.246,0.496,26.978,-12.451,20.264
-0.638,-0.092,0.499,22.156,-18.799,-5.798
-0.431,-0.018,0.464,19.470,-25.208,-30.090
-0.232,0.100,0.371,20.508,-30.151,-53.894
-0.007,0.193,0.270,23.621,-32.715,-77.515
0.200,0.318,0.235,27.405,-31.128,-94.727
0.323,0.525,0.188,27.161,-23.621,-103.638
0.379,0.650,0.217,26.855,-14.282,-105.042
0.309,0.760,0.257,22.217,-5.127,-103.271
0.282,0.781,0.320,14.099,2.319,-104.858
0.198,0.735,0.335,7.507,3.418,-105.408
0.059,0.670,0.349,4.333,1.343,-95.215
-0.020,0.594,0.340,6.165,-0.488,-76.416
-0.083,0.539,0.310,10.681,-4.395,-52.734
-0.187,0.481,0.284,16.296,-11.536,-29.053
-0.283,0.444,0.234,20.325,-17.334,-8.545
-0.399,0.349,0.179,22.217,-19.104,11.658
-0.463,0.226,0.116,24.841,-17.578,27.161
-0.521,0.088,0.057,25.574,-16.602,35.278
-0.589,-0.028,0.008,24.719,-13.733,38.696
-0.666,-0.108,-0.038,23.132,-8.240,36.255
-0.724,-0.176,-0.057,21.240,-2.258,28.687
-0.790,-0.221,-0.039,20.447,3.845,21.118
-0.851,-0.232,-0.013,20.813,8.789,15.198
-0.892,-0.224,0.030,22.400,10.498,10.254
-0.931,-0.174,0.078,23.193,10.559,8.362
-0.966,-0.121,0.107,21.423,9.888,7.507
-0.984,-0.103,0.122,17.212,8.423,3.967
-0.989,-0.100,0.121,11.536,6.714,-0.061
-0.992,-0.095,0.111,7.202,4.944,-2.258
-1.001,-0.096,0.093,4.150,3.784,-3.540
-1.001,-0.122,0.082,2.197,3.601,-4.883
-1.005,-0.130,0.083,1.831,4.028,-6.836
-1.003,-0.121,0.088,2.502,4.517,-8.728
-0.996,-0.117,0.094,4.211,4.761,-9.216
-1.008,-0.123,0.110,7.202,3.784,-7.568
-1.037,-0.110,0.117,10.193,1.953,-5.127
-1.035,-0.083,0.113,11.414,0.061,-4.333
-1.043,-0.057,0.102,10.071,-1.770,-4.395
-1.044,-0.049,0.089,7.385,-3.540,-5.310
-1.024,-0.051,0.074,3.601,-4.333,-7.812
-0.998,-0.065,0.059,0.183,-5.066,-9.949
-0.980,-0.069,0.043,-2.380,-5.066,-10.925
-0.966,-0.074,0.025,-4.089,-4.333,-12.024
-0.958,-0.074,0.003,-4.272,-3.174,-13.123
-0.956,-0.072,-0.012,-2.686,-1.465,-12.207
-0.954,-0.072,-0.010,0.061,0.732,-9.155
-0.966,-0.063,0.002,3.235,2.991,-5.676
-0.987,-0.060,0.026,5.554,4.761,-2.991
-0.992,-0.056,0.045,5.981,6.104,-1.038
-0.989,-0.055,0.060,5.493,7.263,-0.671
-0.990,-0.048,0.072,4.395,7.935,-1.465
-0.985,-0.043,0.080,3.357,8.728,-2.808
-0.981,-0.038,0.088,2.625,9.338,-2.930
-0.986,-0.044,0.103,1.770,9.521,-2.258
-0.999,-0.058,0.113,1.038,9.216,-1.709
-1.024,-0.070,0.118,0.610,8.057,-1.465
-1.034,-0.079,0.113,0.305,6.287,-1.343
-1.032,-0.087,0.109,0.610,4.150,-1.404
-1.020,-0.087,0.095,1.465,2.380,-0.793
-1.002,-0.087,0.083,2.319,1.404,-0.488
-0.997,-0.087,0.081,3.418,1.099,-0.610
-0.992,-0.079,0.082,4.211,1.648,-0.610
-0.988,-0.073,0.087,4.822,2.625,-1.099
-0.990,-0.069,0.090,4.395,3.296,-1.465
-1.002,-0.066,0.093,3.113,4.028,-1.343
-1.013,-0.070,0.095,1.526,3.967,-1.282
-1.014,-0.068,0.090,0.061,3.540,-1.526
-1.012,-0.067,0.080,-1.404,2.991,-2.319
-1.005,-0.081,0.064,-3.052,2.380,-3.601
-1.006,-0.115,0.049,-4.150,1.892,-4.333
-1.001,-0.133,0.035,-3.479,1.831,-4.456
-0.996,-0.127,0.031,-0.977,2.380,-3.784
-0.998,-0.096,0.034,1.953,3.784,-2.197
-1.000,-0.059,0.044,3.540,5.676,-1.709
-1.005,-0.039,0.059,3.723,7.507,-2.625
-1.018,-0.036,0.082,3.235,8.362,-3.662
-1.029,-0.049,0.104,2.869,8.606,-3.174
-1.047,-0.065,0.124,3.845,7.996,-0.305
-1.060,-0.060,0.135,5.371,6.958,3.052
-1.065,-0.035,0.138,5.981,6.104,4.517
-1.063,-0.017,0.135,4.944,4.883,3.052
-1.042,-0.005,0.129,2.563,4.272,0.244
-1.026,-0.007,0.122,0.366,4.272,-2.197
-1.026,-0.032,0.124,-0.427,3.906,-2.808
-1.034,-0.057,0.134,0.305,3.113,-1.099
-1.049,-0.071,0.139,1.587,2.197,2.380
-1.062,-0.081,0.139,2.075,1.099,4.639
-1.063,-0.087,0.131,1.709,0.122,4.883
-1.051,-0.095,0.120,1.038,-0.488,3.967
-1.029,-0.102,0.112,0.671,-0.732,2.258
-1.020,-0.090,0.107,0.977,-0.793,0.732
-1.795,0.678,0.818,124.084,60.608,-115.845
-2.052,0.877,0.892,128.967,59.082,-98.816
-2.314,1.032,0.935,122.559,50.232,-93.933
-2.461,1.117,0.939,106.934,34.851,-100.342
-2.510,1.121,0.895,88.318,12.329,-105.042
-2.476,1.095,0.796,70.129,-12.878,-101.074
-2.362,1.054,0.641,54.565,-38.879,-93.323
-2.221,0.971,0.450,44.678,-63.782,-82.703
-2.002,0.855,0.241,41.870,-83.008,-67.932
-1.832,0.731,0.045,45.227,-95.886,-43.091
-1.739,0.634,-0.115,50.232,-102.783,-10.681
-1.680,0.543,-0.240,55.176,-101.501,20.813
-1.649,0.421,-0.316,60.608,-93.628,43.152
-1.609,0.302,-0.373,61.951,-81.726,52.063
-1.565,0.200,-0.405,60.303,-68.237,53.711
-1.555,0.089,-0.388,58.716,-55.054,56.641
-1.578,-0.009,-0.349,55.603,-42.297,62.683
-1.540,0.008,-0.317,49.988,-31.616,66.101
-1.642,-0.064,-0.234,44.983,-24.597,76.477
-1.702,-0.068,-0.181,38.025,-20.630,84.167
-1.771,-0.130,-0.127,29.846,-19.287,84.534
-1.898,-0.212,-0.058,24.109,-19.470,86.792
-1.996,-0.283,-0.003,19.958,-19.409,89.600
-2.042,-0.351,0.044,19.653,-19.348,90.515
-2.099,-0.410,0.110,23.376,-19.470,92.529
-2.153,-0.407,0.203,27.344,-19.714,95.947
-2.187,-0.345,0.263,28.442,-19.897,97.168
-2.192,-0.333,0.331,27.832,-22.278,92.834
-2.165,-0.370,0.387,25.513,-27.832,83.557
-2.101,-0.391,0.427,23.437,-36.865,73.792
-2.014,-0.416,0.433,25.635,-47.729,68.298
-1.917,-0.446,0.378,32.654,-58.472,66.711
-1.745,-0.496,0.321,41.565,-67.688,64.392
-1.616,-0.478,0.265,49.194,-71.716,61.462
-1.474,-0.434,0.238,54.077,-68.970,51.636
-1.267,-0.310,0.270,53.528,-60.791,30.518
-1.072,-0.072,0.315,45.044,-50.659,5.615
-0.902,0.063,0.338,34.119,-46.326,-14.038
-0.758,0.055,0.331,26.672,-48.828,-27.039
-0.618,-0.019,0.298,24.597,-53.589,-32.593
-0.457,-0.051,0.258,29.541,-56.030,-31.799
-0.297,0.027,0.222,41.626,-53.467,-26.611
-0.146,0.145,0.186,57.556,-45.349,-19.104
-0.009,0.256,0.165,69.031,-31.982,-14.954
0.083,0.426,0.198,69.458,-16.052,-18.921
0.123,0.648,0.253,58.838,-3.113,-31.067
0.078,0.775,0.272,42.175,1.343,-43.457
0.023,0.745,0.279,26.733,-0.366,-49.377
-0.048,0.666,0.284,14.282,-2.686,-48.279
-0.092,0.572,0.223,3.540,-4.944,-47.119
0.000,0.454,0.114,-0.305,-7.812,-47.852
0.075,0.394,0.015,7.690,-7.385,-35.400
0.031,0.363,-0.037,22.827,-3.113,-9.521
-0.076,0.315,-0.026,35.889,2.869,12.634
-0.196,0.276,-0.003,41.931,9.583,25.024
-0.322,0.191,0.013,39.734,14.404,29.419
-0.438,0.075,0.025,31.860,14.587,27.161
-0.533,-0.031,0.019,21.179,13.062,22.705
-0.620,-0.122,0.005,10.620,10.132,17.883
-0.688,-0.204,-0.036,2.563,6.287,12.451
-0.727,-0.284,-0.052,-0.488,1.831,8.423
-0.752,-0.300,-0.053,0.732,-0.488,6.287
-0.777,-0.273,-0.039,3.906,-1.160,4.639
-0.798,-0.225,-0.022,5.615,-2.075,1.892
-0.821,-0.180,-0.026,4.272,-2.380,-2.014
-0.843,-0.158,-0.044,2.319,-2.136,-5.371
-0.854,-0.138,-0.063,0.000,-1.648,-8.423
-0.858,-0.106,-0.082,-2.136,0.000,-10.986
-0.846,-0.082,-0.093,-4.089,2.747,-13.794
-0.849,-0.072,-0.094,-5.493,5.676,-15.564
-0.865,-0.083,-0.080,-4.883,9.155,-14.343
-0.902,-0.105,-0.056,-1.892,12.390,-10.803
-0.949,-0.108,-0.026,1.770,15.076,-6.470
-0.988,-0.099,0.004,5.066,16.846,-2.991
-1.037,-0.082,0.039,7.812,17.090,-0.183
-1.072,-0.062,0.058,8.301,15.625,0.183
-1.078,-0.045,0.063,6.592,13.184,-1.404
-1.068,-0.041,0.056,4.150,10.803,-3.662
-1.055,-0.050,0.039,1.343,8.789,-5.554
-1.054,-0.057,0.016,-0.977,7.874,-7.202
-1.054,-0.059,0.005,-3.235,7.935,-8.850
-1.047,-0.058,0.001,-4.028,8.606,-10.193
-1.054,-0.063,0.001,-3.906,8.850,-9.827
-1.057,-0.064,0.005,-3.418,8.911,-8.789
-1.056,-0.055,0.008,-1.526,8.789,-6.226
-1.045,-0.060,0.009,1.282,8.301,-2.869
-1.041,-0.073,0.010,4.089,7.507,1.282
-1.053,-0.081,0.012,6.348,7.080,5.432
-1.055,-0.085,0.014,7.629,6.775,7.324
-1.048,-0.081,0.007,7.202,6.653,6.714
-1.047,-0.094,0.007,5.554,6.714,5.615
-1.046,-0.109,0.012,3.601,6.897,4.272
-1.040,-0.117,0.011,1.709,7.141,2.380
-1.035,-0.117,0.011,-0.061,7.202,0.061
-1.032,-0.104,0.018,-1.282,6.897,-2.502
-1.029,-0.092,0.027,-1.770,6.042,-3.723
-1.001,-0.097,0.026,-2.136,4.517,-3.601
-0.995,-0.106,0.023,-1.465,3.052,-1.160
-0.999,-0.111,0.025,0.061,2.380,1.831
-0.998,-0.106,0.025,0.732,2.625,2.686
-0.994,-0.097,0.026,0.732,3.113,1.465
-0.997,-0.088,0.028,0.977,3.723,0.122
-1.003,-0.083,0.032,1.160,3.723,-0.671
-1.010,-0.080,0.042,1.404,3.235,-0.916
-1.014,-0.057,0.052,1.526,2.991,-0.244
-1.020,-0.034,0.054,0.977,2.625,0.549
-1.026,-0.040,0.052,-0.549,1.343,0.427
-1.024,-0.055,0.048,-2.197,0.061,0.000
-1.013,-0.066,0.029,-3.662,-0.366,-0.671
-1.014,-0.104,0.019,-4.944,-0.977,-0.916
-1.017,-0.137,0.013,-4.517,-1.099,-0.854
-1.020,-0.137,0.012,-2.686,-0.427,-0.122
-1.015,-0.120,0.011,-0.854,0.366,0.916
-1.013,-0.104,0.012,0.671,1.221,1.465
-1.026,-0.099,0.010,1.648,1.770,2.563
-1.030,-0.108,0.013,1.770,2.380,3.235
-1.045,-0.114,0.021,1.892,3.235,3.418
-1.062,-0.105,0.031,2.441,3.845,2.991
-1.060,-0.098,0.036,2.441,4.333,1.709
0.950,-1.414,0.224,68.115,5.798,42.664
0.880,-1.393,0.316,94.788,33.386,28.931
0.688,-1.260,0.511,117.737,62.805,21.606
0.407,-1.024,0.720,131.775,89.172,9.705
-0.008,-0.741,0.854,130.310,109.619,-9.033
-0.481,-0.546,0.987,122.559,120.911,-39.001
-0.905,-0.410,1.005,114.319,121.826,-77.698
-1.297,-0.326,0.960,111.389,112.427,-111.511
-1.535,-0.195,0.960,114.990,101.196,-132.141
-1.729,0.067,0.966,112.244,90.271,-145.325
-2.043,0.273,0.978,115.540,85.388,-136.536
-2.014,0.620,1.025,124.451,83.130,-123.047
-2.301,0.555,1.107,129.883,72.021,-98.694
-2.581,0.760,1.053,129.578,55.298,-87.708
-2.710,0.934,1.013,118.469,35.583,-99.243
-2.656,1.037,0.931,102.783,16.357,-115.479
-2.580,1.046,0.776,81.787,-7.996,-122.009
-2.507,0.990,0.590,59.265,-34.485,-114.197
-2.386,0.901,0.413,41.382,-56.946,-104.126
-2.214,0.794,0.239,33.447,-75.806,-95.703
-2.111,0.714,0.058,29.846,-90.698,-77.942
-2.058,0.633,-0.097,26.428,-100.037,-51.819
-1.992,0.522,-0.215,25.146,-101.624,-25.208
-1.905,0.376,-0.327,24.658,-98.877,-2.502
-1.851,0.188,-0.404,26.123,-94.421,20.752
-1.820,-0.010,-0.474,30.457,-87.646,46.387
-1.785,-0.175,-0.514,35.400,-78.064,67.749
-1.807,-0.285,-0.512,38.818,-67.810,82.336
-1.849,-0.349,-0.469,39.001,-55.298,90.698
-1.901,-0.413,-0.391,35.278,-41.992,96.802
-1.976,-0.503,-0.306,27.954,-32.410,101.990
-2.068,-0.598,-0.225,19.348,-28.992,105.774
-2.139,-0.669,-0.148,11.658,-29.724,107.971
-2.160,-0.705,-0.091,5.981,-31.616,109.680
-2.129,-0.720,-0.036,4.089,-35.095,109.070
