aX,aY,aZ,gX,gY,gZ
-0.586,-0.041,0.745,1.221,-7.996,0.610
-0.594,-0.035,0.742,1.282,-7.324,-1.770
1.354,-1.206,-0.420,43.213,74.646,-5.432
1.495,-1.243,-0.346,62.073,127.563,-16.052
1.521,-1.217,-0.171,86.182,188.904,-22.461
1.508,-1.187,0.135,112.793,250.732,-28.748
1.473,-1.057,0.528,135.193,309.448,-35.828
1.304,-0.794,1.087,148.376,359.253,-41.870
0.945,-0.509,1.605,145.874,394.836,-46.265
0.510,-0.354,1.993,128.479,404.968,-57.434
0.191,-0.298,2.322,100.037,389.771,-67.444
-0.159,-0.295,2.515,79.956,357.300,-72.327
-0.452,-0.376,2.615,80.872,314.819,-69.885
-0.630,-0.406,2.672,92.834,273.926,-50.659
-0.800,-0.333,2.695,108.154,241.821,-14.526
-1.010,-0.203,2.698,119.934,217.529,22.034
-1.232,-0.054,2.661,119.751,200.317,43.030
-1.492,0.019,2.617,107.544,184.753,36.438
-1.752,-0.005,2.556,84.534,167.603,-0.549
-1.861,-0.078,2.478,56.274,147.339,-60.730
-1.904,-0.160,2.327,36.072,122.742,-120.117
-1.965,-0.192,2.115,25.146,96.802,-151.062
-1.938,-0.156,1.908,26.184,71.716,-153.442
-1.938,-0.093,1.752,38.391,48.401,-137.817
-1.941,0.024,1.633,50.171,29.663,-118.286
-1.916,0.137,1.533,56.824,15.320,-105.286
-1.911,0.208,1.451,57.129,2.747,-98.450
-1.904,0.236,1.394,53.284,-7.629,-93.750
-1.903,0.268,1.346,48.523,-18.250,-89.661
-1.908,0.313,1.314,46.021,-29.480,-85.022
-1.896,0.365,1.294,46.692,-40.833,-79.285
-1.869,0.417,1.278,45.593,-52.917,-73.120
-1.837,0.421,1.260,42.175,-66.162,-69.275
-1.784,0.396,1.246,36.804,-79.224,-68.665
-1.725,0.361,1.232,30.518,-91.248,-69.092
-1.637,0.339,1.201,24.536,-102.783,-66.101
-1.522,0.318,1.159,20.142,-113.953,-60.120
-1.421,0.293,1.115,16.724,-123.291,-53.833
-1.333,0.292,1.078,13.123,-130.188,-48.706
-1.268,0.300,1.042,9.216,-134.949,-44.006
-1.203,0.305,1.007,3.784,-139.160,-40.039
-1.140,0.298,0.975,-2.441,-142.456,-36.926
-1.080,0.269,0.939,-7.996,-145.752,-33.325
-1.016,0.229,0.906,-11.597,-149.292,-27.283
-0.948,0.197,0.878,-12.329,-152.161,-18.005
-0.895,0.186,0.855,-12.512,-153.137,-8.667
-0.858,0.188,0.833,-13.855,-152.344,-3.601
-0.820,0.171,0.815,-16.663,-149.780,-1.587
-0.774,0.162,0.787,-20.569,-146.240,-1.404
-0.715,0.157,0.767,-23.804,-142.151,-0.671
-0.675,0.160,0.742,-26.306,-136.841,2.808
-0.645,0.117,0.725,-27.893,-132.507,6.775
-0.616,0.050,0.714,-27.283,-130.005,10.681
-0.599,0.012,0.696,-25.146,-127.747,15.320
-0.577,0.001,0.675,-23.987,-125.549,19.836
-0.549,-0.007,0.641,-24.048,-123.596,21.729
-0.506,-0.026,0.605,-25.574,-121.887,20.264
-0.457,-0.033,0.558,-27.527,-119.629,18.555
-0.399,-0.035,0.503,-29.358,-116.394,18.372
-0.351,-0.040,0.447,-30.396,-112.366,17.944
-0.307,-0.051,0.401,-31.311,-106.873,18.677
-0.247,-0.077,0.375,-32.104,-100.525,21.545
-0.234,-0.098,0.329,-33.447,-94.849,25.452
-0.225,-0.108,0.304,-34.546,-88.318,28.687
-0.190,-0.124,0.285,-33.020,-79.529,29.602
-0.186,-0.117,0.282,-32.654,-71.716,27.283
-0.185,-0.101,0.284,-32.776,-63.660,22.766
-0.154,-0.079,0.290,-34.485,-54.993,17.334
-0.146,-0.038,0.299,-37.476,-46.631,11.841
-0.150,-0.019,0.307,-41.992,-39.124,6.531
-0.140,-0.027,0.304,-46.265,-32.776,2.197
-0.120,-0.068,0.292,-48.401,-27.466,0.122
-0.113,-0.120,0.284,-49.316,-22.278,0.000
-0.102,-0.142,0.277,-47.974,-16.907,-1.038
-0.134,-0.189,0.280,-43.396,-11.597,-4.639
-0.133,-0.186,0.272,-45.166,-4.700,-8.850
-0.105,-0.196,0.260,-47.241,3.418,-12.390
-0.098,-0.192,0.255,-47.974,12.207,-17.334
-0.054,-0.164,0.258,-48.584,22.888,-24.292
-0.055,-0.124,0.276,-48.340,34.912,-29.785
-0.053,-0.062,0.311,-47.913,47.791,-32.654
-0.050,0.002,0.360,-49.194,60.669,-33.997
-0.071,0.077,0.421,-52.368,71.899,-34.790
-0.126,0.123,0.472,-56.946,79.590,-34.912
-0.165,0.140,0.508,-63.110,83.496,-36.011
-0.159,0.122,0.514,-69.275,85.205,-37.842
-0.106,0.118,0.496,-72.754,86.304,-39.490
-0.068,0.135,0.470,-70.984,88.806,-41.748
0.010,0.224,0.443,-69.092,94.727,-41.870
0.058,0.297,0.423,-64.819,101.929,-41.504
0.108,0.380,0.391,-62.561,109.741,-40.100
0.157,0.458,0.371,-65.735,119.324,-34.912
0.150,0.455,0.378,-70.740,129.150,-26.978
0.049,0.366,0.405,-78.430,138.062,-16.418
-0.041,0.209,0.453,-86.243,147.583,-4.456
-0.163,-0.002,0.534,-87.036,156.555,6.226
-0.364,-0.172,0.665,-79.651,164.917,16.602
-0.616,-0.207,0.848,-70.251,172.119,28.198
-0.877,-0.190,1.046,-63.538,175.781,39.307
-1.129,-0.188,1.209,-61.768,171.997,45.227
-1.374,-0.194,1.322,-63.843,161.926,47.119
-1.600,-0.241,1.391,-67.200,148.560,49.805
-1.761,-0.368,1.442,-67.078,131.897,53.589
-1.885,-0.504,1.488,-62.317,115.784,57.800
-1.979,-0.568,1.522,-55.847,103.210,59.814
-2.013,-0.552,1.536,-50.354,93.628,53.955
-2.019,-0.495,1.523,-48.584,86.670,40.466
-1.986,-0.435,1.517,-49.316,80.200,21.790
-1.897,-0.344,1.508,-50.476,73.486,4.578
-1.755,-0.229,1.523,-50.049,66.406,-5.066
-1.799,-0.135,1.477,-49.377,53.833,-9.277
-1.624,-0.151,1.423,-45.654,43.091,-8.972
-1.569,-0.197,1.305,-42.175,29.419,10.864
-1.527,-0.335,1.188,-35.706,13.855,37.048
-1.466,-0.435,1.075,-27.100,-0.061,57.373
-1.375,-0.492,0.942,-20.020,-10.742,68.115
-1.238,-0.525,0.837,-15.686,-18.127,67.261
-1.125,-0.549,0.747,-12.024,-21.606,56.274
-0.997,-0.500,0.677,-9.521,-21.545,43.091
-0.882,-0.487,0.650,-3.906,-20.630,31.738
-0.826,-0.381,0.617,-2.136,-18.921,23.621
1.089,-0.997,0.748,121.643,280.457,-18.555
0.912,-0.781,1.214,130.615,321.899,-15.930
0.535,-0.509,1.625,122.253,350.647,-13.733
0.168,-0.393,1.967,102.966,361.328,-26.672
-0.097,-0.312,2.233,72.449,349.243,-49.988
-0.413,-0.259,2.337,48.340,316.772,-68.970
-0.672,-0.270,2.365,44.495,272.339,-76.416
-0.844,-0.279,2.337,51.331,228.943,-65.918
-1.028,-0.248,2.280,60.669,191.833,-41.138
-1.221,-0.175,2.224,69.519,163.879,-17.700
-1.394,-0.067,2.200,72.266,148.193,-9.705
