aX,aY,aZ,gX,gY,gZ
0.056,0.187,1.554,-51.941,52.734,-19.165
0.138,0.146,1.583,-42.725,44.373,-14.526
0.177,0.145,1.555,-40.649,33.630,-12.085
0.181,0.171,1.502,-36.499,22.400,-11.169
0.197,0.182,1.474,-26.672,11.780,-12.390
-0.739,-0.284,1.641,349.976,-111.450,111.877
-0.611,-0.336,1.562,398.376,-111.694,127.747
-0.446,-0.335,1.419,456.726,-122.864,137.024
-0.473,-0.277,1.106,520.691,-140.503,145.630
-0.676,-0.175,0.627,598.389,-148.071,154.236
-0.878,-0.100,0.172,690.186,-130.249,162.170
-1.045,-0.141,-0.160,779.541,-81.787,176.758
-1.147,-0.306,-0.328,842.102,-7.874,200.928
-1.143,-0.513,-0.405,857.056,75.806,230.652
-1.069,-0.692,-0.451,834.045,150.818,261.597
-0.985,-0.838,-0.450,799.377,200.745,287.537
-0.914,-0.921,-0.431,768.433,218.933,303.223
-0.844,-0.896,-0.397,736.450,212.219,313.477
-0.773,-0.824,-0.328,694.275,188.049,329.346
-0.694,-0.804,-0.313,641.174,152.588,349.487
-0.649,-0.765,-0.408,582.947,112.244,361.938
-0.578,-0.708,-0.559,534.363,73.486,363.403
-0.532,-0.596,-0.625,490.112,42.908,361.755
-0.548,-0.469,-0.709,432.678,21.790,362.244
-0.543,-0.276,-0.788,372.742,8.606,355.286
-0.462,-0.073,-0.784,326.843,2.869,338.745
-0.354,0.150,-0.704,293.030,5.920,321.106
-0.209,0.295,-0.593,272.339,18.250,302.307
-0.052,0.348,-0.431,271.057,37.537,272.095
0.256,0.443,-0.240,284.668,58.411,222.961
0.737,0.689,-0.077,292.236,71.350,164.612
1.388,1.085,0.008,265.442,59.509,124.756
1.754,1.487,-0.062,181.335,35.156,126.221
1.886,1.887,-0.433,84.167,25.940,150.940
2.049,2.089,-0.750,52.307,42.603,165.649
2.382,2.003,-0.900,88.806,71.716,171.143
2.648,1.386,-0.826,139.160,94.604,177.979
2.622,0.523,-0.620,163.086,82.642,185.181
2.351,-0.283,-0.443,135.864,36.438,188.416
1.921,-0.775,-0.473,57.129,-5.615,183.044
1.548,-0.877,-0.639,-23.560,-17.395,154.846
1.320,-0.817,-0.743,-52.063,-4.211,100.159
1.243,-0.671,-0.748,-37.964,18.555,31.311
1.216,-0.417,-0.738,-30.334,36.621,-32.837
1.192,-0.083,-0.776,-58.350,42.175,-82.458
1.198,0.247,-0.841,-111.755,30.640,-118.774
1.189,0.523,-0.909,-172.974,4.150,-138.000
1.103,0.718,-0.940,-233.887,-27.283,-139.832
1.020,0.818,-1.005,-280.640,-53.467,-131.165
1.001,0.874,-1.043,-300.476,-68.970,-117.310
0.936,0.789,-1.008,-293.335,-74.951,-94.360
0.872,0.601,-0.913,-271.912,-73.669,-71.472
0.820,0.373,-0.844,-248.535,-62.561,-53.223
0.797,0.171,-0.710,-230.530,-52.368,-42.358
0.823,-0.001,-0.567,-225.281,-48.401,-42.297
0.878,-0.084,-0.466,-233.337,-52.368,-48.889
0.887,-0.135,-0.428,-250.793,-67.566,-56.396
0.821,-0.165,-0.390,-270.081,-93.323,-63.354
0.757,-0.152,-0.381,-285.034,-119.080,-70.557
0.730,-0.184,-0.423,-292.053,-135.925,-76.599
0.746,-0.260,-0.449,-292.236,-144.592,-81.970
0.793,-0.384,-0.434,-292.542,-145.081,-89.600
0.884,-0.536,-0.372,-297.729,-144.897,-101.379
1.011,-0.683,-0.370,-310.486,-149.963,-114.868
1.036,-0.766,-0.408,-325.623,-165.955,-123.901
0.932,-0.769,-0.456,-330.688,-195.374,-124.756
0.762,-0.707,-0.453,-325.989,-222.412,-126.099
0.628,-0.655,-0.395,-320.679,-231.995,-132.019
0.594,-0.621,-0.312,-322.632,-220.398,-139.099
0.646,-0.559,-0.240,-329.041,-197.021,-145.569
0.680,-0.523,-0.187,-335.815,-175.659,-150.146
0.660,-0.603,-0.108,-339.966,-168.457,-146.423
0.529,-0.716,0.012,-345.337,-174.194,-132.446
0.376,-0.803,0.114,-353.455,-184.082,-115.967
0.197,-0.849,0.220,-363.220,-192.871,-104.187
0.076,-0.798,0.313,-373.718,-196.533,-96.680
0.059,-0.691,0.398,-388.062,-190.979,-90.881
0.134,-0.579,0.413,-400.330,-178.589,-83.618
0.188,-0.512,0.446,-401.978,-165.955,-72.083
0.199,-0.518,0.489,-393.677,-151.917,-56.396
0.141,-0.536,0.542,-379.150,-132.263,-46.082
0.088,-0.537,0.599,-351.135,-108.887,-48.706
-0.011,-0.521,0.702,-306.946,-84.167,-61.279
-0.072,-0.536,0.813,-256.042,-60.303,-77.576
-0.097,-0.501,0.903,-211.182,-39.429,-94.055
0.006,-0.442,0.941,-185.364,-23.865,-104.004
0.029,-0.388,0.943,-179.810,-17.456,-105.896
0.109,-0.349,0.935,-187.988,-11.719,-95.642
0.157,-0.264,0.924,-203.613,-19.836,-80.994
0.180,-0.216,0.849,-218.933,-33.264,-66.528
0.018,-0.200,0.886,-221.680,-38.025,-52.612
-0.083,-0.168,0.969,-208.862,-34.363,-48.645
-0.103,-0.139,1.045,-186.951,-28.015,-50.842
-0.077,-0.155,1.052,-161.072,-26.672,-50.537
-0.084,-0.126,1.002,-140.381,-31.250,-48.218
-0.113,-0.147,0.927,-128.479,-36.743,-42.725
-0.153,-0.165,0.846,-124.817,-38.452,-37.170
-0.195,-0.170,0.826,-129.517,-33.203,-34.790
-0.221,-0.095,0.855,-135.742,-23.437,-34.302
-0.180,-0.069,0.942,-135.986,-11.719,-31.860
-0.134,-0.070,1.005,-132.019,-4.761,-26.794
-0.132,-0.057,1.012,-126.953,-5.615,-21.362
-0.132,-0.118,0.959,-121.033,-12.207,-17.395
-0.116,-0.155,0.839,-117.737,-18.372,-17.151
-0.177,-0.131,0.699,-118.408,-19.287,-20.996
-0.290,-0.088,0.681,-111.938,-13.428,-26.855
-0.355,-0.083,0.742,-97.839,-0.916,-35.461
-0.348,-0.108,0.873,-83.740,16.907,-40.771
-0.273,-0.160,0.974,-75.256,31.006,-40.283
-0.237,-0.196,1.026,-73.547,36.316,-33.081
-0.224,-0.219,1.026,-76.660,32.776,-23.132
-0.205,-0.232,0.988,-82.214,27.588,-14.709
-0.220,-0.220,0.996,-87.097,26.611,-9.644
-0.197,-0.170,1.062,-87.891,31.860,-11.902
-0.135,-0.110,1.188,-83.557,42.358,-18.188
-0.025,-0.092,1.327,-70.618,50.781,-24.414
0.064,-0.086,1.442,-56.702,52.124,-30.457
0.156,-0.040,1.461,-47.424,46.448,-34.424
0.184,0.019,1.462,-41.565,36.316,-34.851
0.179,0.078,1.460,-37.598,26.855,-31.616
0.186,0.133,1.469,-35.156,21.423,-26.123
0.196,0.166,1.492,-32.715,18.616,-18.921
0.207,0.170,1.498,-28.931,15.076,-11.597
0.226,0.151,1.475,-24.353,10.193,-5.981
-1.230,-0.935,-0.391,835.205,196.533,197.937
-1.053,-0.969,-0.316,802.979,259.766,221.130
-0.866,-0.960,-0.259,763.672,287.842,243.164
-0.769,-0.958,-0.231,730.286,282.104,264.343
-0.781,-0.997,-0.226,693.237,253.418,283.203
-0.814,-1.017,-0.250,638.428,214.111,298.645
-0.839,-0.945,-0.291,572.205,172.729,307.678
-0.822,-0.843,-0.307,506.714,135.803,311.951
-0.765,-0.712,-0.273,448.303,104.675,313.416
-0.657,-0.611,-0.278,402.649,76.111,311.401
-0.600,-0.532,-0.321,371.643,47.913,303.772
-0.581,-0.465,-0.306,345.642,20.508,293.335
-0.575,-0.327,-0.282,319.580,-2.014,278.748
-0.535,-0.135,-0.236,291.931,-20.630,256.592
-0.418,0.045,-0.163,269.348,-33.264,230.164
-0.211,0.187,-0.155,258.606,-39.551,199.829
0.079,0.342,-0.209,248.352,-43.335,173.035
0.334,0.507,-0.288,213.928,-42.480,163.086
0.447,0.759,-0.452,150.208,-27.771,165.894
0.779,1.241,-0.526,104.248,15.991,150.208
1.414,1.777,-0.399,94.055,81.665,113.525
2.162,2.122,-0.196,109.192,135.681,87.891
2.590,2.082,-0.053,143.860,144.775,90.454
2.880,1.701,-0.005,194.702,94.910,106.506
3.074,1.183,-0.376,228.760,13.916,133.667
2.845,0.466,-0.906,199.219,-50.781,182.312
2.186,-0.307,-1.369,110.168,-88.806,216.187
1.554,-0.740,-1.542,25.330,-94.360,198.303
1.178,-0.830,-1.539,-19.104,-62.256,137.573
1.060,-0.742,-1.371,-35.095,-5.249,60.486
1.117,-0.495,-1.100,-47.119,59.143,-13.306
1.316,-0.130,-0.842,-68.542,105.042,-75.623
1.482,0.245,-0.706,-99.670,112.183,-117.432
1.585,0.518,-0.677,-127.319,78.735,-136.963
1.488,0.694,-0.708,-149.902,20.325,-132.874
1.198,0.709,-0.825,-177.612,-36.438,-114.136
